epoch	seed	train	strategy	accuracy	loss
1	10	True	freeze	46.922	0.02276536994457245
1	10	False	freeze	59.35	0.01823648213148117
2	10	True	freeze	68.006	0.014054816209673882
2	10	False	freeze	71.57	0.012942347392439843
3	10	True	freeze	77.188	0.010227634122371673
3	10	False	freeze	75.35	0.011620315462350846
4	10	True	freeze	82.778	0.0077745807841420175
4	10	False	freeze	76.55	0.012775433683395386
5	10	True	freeze	86.638	0.005959123531877995
5	10	False	freeze	75.51	0.014601643234491347
6	10	True	freeze	89.418	0.004671962434500456
6	10	False	freeze	77.05	0.012909113055467606
7	10	True	freeze	91.832	0.0036305707141757013
7	10	False	freeze	76.1	0.014779313033819198
8	10	True	freeze	93.784	0.002753622177019715
8	10	False	freeze	76.39	0.015888362792134285
9	10	True	freeze	95.236	0.0021209428738057615
9	10	False	freeze	76.39	0.01850578517615795
10	10	True	freeze	96.394	0.0016273802760243415
10	10	False	freeze	79.94	0.014852292376756669
11	10	True	freeze	97.26	0.001233561749830842
11	10	False	freeze	79.94	0.01454489687681198
12	10	True	freeze	97.572	0.0011124063525348902
12	10	False	freeze	78.71	0.016415257769823076
13	10	True	freeze	97.984	0.0009067690364271403
13	10	False	freeze	80.97	0.013845115783810615
14	10	True	freeze	98.616	0.0006534116288274527
14	10	False	freeze	80.45	0.014877590724825859
15	10	True	freeze	98.976	0.00051562370788306
15	10	False	freeze	81.29	0.014126462405920028
16	10	True	freeze	99.08	0.00046360909022390845
16	10	False	freeze	81.77	0.014121829837560653
17	10	True	freeze	98.902	0.0005290498665720224
17	10	False	freeze	81.5	0.013973310062289237
18	10	True	freeze	99.154	0.0004217923019826412
18	10	False	freeze	81.32	0.013592416675388814
19	10	True	freeze	99.358	0.00034995865643024446
19	10	False	freeze	81.96	0.013341470515727996
20	10	True	freeze	99.222	0.00039302518993616106
20	10	False	freeze	79.66	0.015285863171517849
21	10	True	freeze	98.856	0.0005718986403942108
21	10	False	freeze	81.34	0.013484219899773598
22	10	True	freeze	98.088	0.0008754583134502172
22	10	False	freeze	79.71	0.014762089017033577
23	10	True	freeze	98.358	0.0007843470145016909
23	10	False	freeze	81.75	0.01259644201695919
24	10	True	freeze	98.822	0.0005925631330162287
24	10	False	freeze	81.87	0.012697706162929536
25	10	True	freeze	98.998	0.0005123641722649336
25	10	False	freeze	81.34	0.013662145568430423
26	10	True	freeze	99.402	0.00033522043474018575
26	10	False	freeze	82.13	0.012602331763505935
27	10	True	freeze	99.544	0.00027509171046316626
27	10	False	freeze	82.96	0.012200754955410958
28	10	True	freeze	99.606	0.00023107467100024224
28	10	False	freeze	82.43	0.012488909757137298
29	10	True	freeze	99.812	0.00015406925208866597
29	10	False	freeze	83.93	0.011247875133156776
30	10	True	freeze	99.992	3.352637320756912e-05
30	10	False	freeze	84.71	0.010087385825812816
31	10	True	freeze	100.0	1.442355528473854e-05
31	10	False	freeze	85.22	0.009682460332661867
32	10	True	freeze	100.0	1.461982697248459e-05
32	10	False	freeze	85.25	0.00923535328656435
33	10	True	freeze	100.0	1.6475593596696855e-05
33	10	False	freeze	85.36	0.008960122276842595
34	10	True	freeze	100.0	1.8380789160728454e-05
34	10	False	freeze	85.44	0.008680457937717437
35	10	True	freeze	100.0	2.001499444246292e-05
35	10	False	freeze	85.58	0.008479556652903557
36	10	True	freeze	100.0	2.1250077337026595e-05
36	10	False	freeze	85.65	0.00834224832803011
37	10	True	freeze	100.0	2.2069045156240463e-05
37	10	False	freeze	85.73	0.008223408602178097
38	10	True	freeze	100.0	2.250890538096428e-05
38	10	False	freeze	85.82	0.008103699423372746
39	10	True	freeze	100.0	2.264323890209198e-05
39	10	False	freeze	85.79	0.008070851391553878
40	10	True	freeze	100.0	2.255317121744156e-05
40	10	False	freeze	85.82	0.008043164646625519
41	10	True	freeze	100.0	2.230311557650566e-05
41	10	False	freeze	85.72	0.007981825287640095
42	10	True	freeze	100.0	2.1957841366529466e-05
42	10	False	freeze	85.79	0.007957682326436042
43	10	True	freeze	100.0	2.1556085646152495e-05
43	10	False	freeze	85.8	0.00793247326761484
44	10	True	freeze	100.0	2.1127391010522842e-05
44	10	False	freeze	85.72	0.007957986766844987
45	10	True	freeze	100.0	2.0695639997720717e-05
45	10	False	freeze	85.65	0.007993273614346982
46	10	True	freeze	100.0	2.026944398880005e-05
46	10	False	freeze	85.53	0.007995610272884368
47	10	True	freeze	100.0	1.9852611869573592e-05
47	10	False	freeze	85.41	0.008092958078533411
48	10	True	freeze	100.0	1.9459362477064133e-05
48	10	False	freeze	85.33	0.008113216561079025
49	10	True	freeze	100.0	1.9094391763210296e-05
49	10	False	freeze	85.23	0.008204113402962685
50	10	True	freeze	100.0	1.875840574502945e-05
50	10	False	freeze	85.21	0.008320342542231083
51	10	True	freeze	100.0	1.8451937437057495e-05
51	10	False	freeze	84.99	0.008380239826440811
52	10	True	freeze	100.0	1.8168109059333802e-05
52	10	False	freeze	85.13	0.008476682290434837
53	10	True	freeze	100.0	1.7913050800561904e-05
53	10	False	freeze	85.12	0.00857377811819315
54	10	True	freeze	100.0	1.768148124217987e-05
54	10	False	freeze	85.16	0.008715709485858678
55	10	True	freeze	100.0	1.7472990304231642e-05
55	10	False	freeze	84.93	0.008831446120142937
56	10	True	freeze	100.0	1.7287515848875045e-05
56	10	False	freeze	84.79	0.008989795611798763
57	10	True	freeze	100.0	1.712902158498764e-05
57	10	False	freeze	84.78	0.0090567153185606
58	10	True	freeze	100.0	1.7003127336502074e-05
58	10	False	freeze	84.69	0.009208813501894474
59	10	True	freeze	100.0	1.690661892294884e-05
59	10	False	freeze	84.77	0.009317839616537094
60	10	True	freeze	100.0	1.683675467967987e-05
60	10	False	freeze	84.74	0.009445790219306947
61	10	True	freeze	100.0	1.6786619126796724e-05
61	10	False	freeze	84.71	0.009580411030352115
62	10	True	freeze	100.0	1.6753858625888824e-05
62	10	False	freeze	84.69	0.009616625627875328
63	10	True	freeze	100.0	1.6731843650341033e-05
63	10	False	freeze	84.73	0.009732630914449692
64	10	True	freeze	100.0	1.6724317371845246e-05
64	10	False	freeze	84.73	0.009837680160999299
65	10	True	freeze	100.0	1.6728928983211517e-05
65	10	False	freeze	84.51	0.009906754027307034
66	10	True	freeze	100.0	1.6743630170822143e-05
66	10	False	freeze	84.37	0.010032689408957959
67	10	True	freeze	100.0	1.6769251078367232e-05
67	10	False	freeze	84.2	0.010087583416700362
68	10	True	freeze	100.0	1.6795862913131715e-05
68	10	False	freeze	84.31	0.010211672504246235
69	10	True	freeze	100.0	1.6838088631629942e-05
69	10	False	freeze	84.37	0.010313744604587555
70	10	True	freeze	100.0	1.689587205648422e-05
70	10	False	freeze	84.17	0.01041451123803854
71	10	True	freeze	100.0	1.701696887612343e-05
71	10	False	freeze	84.22	0.010394718958437443
72	10	True	freeze	54.452	0.01925415291622281
72	10	False	freeze	42.6	0.024564045774936677
73	10	True	freeze	49.376	0.021745835127830505
73	10	False	freeze	57.64	0.01887061248421669
74	10	True	freeze	62.64	0.016345648925304414
74	10	False	freeze	67.79	0.014356837755441665
75	10	True	freeze	70.408	0.013134555314779282
75	10	False	freeze	72.11	0.01268927293419838
76	10	True	freeze	76.166	0.010593793663978576
76	10	False	freeze	72.55	0.012642497253417968
77	10	True	freeze	81.126	0.008514459930360317
77	10	False	freeze	72.94	0.01352728505730629
78	10	True	freeze	85.364	0.006726347723603248
78	10	False	freeze	74.2	0.013087614041566848
79	10	True	freeze	87.984	0.005457498083561659
79	10	False	freeze	76.46	0.01242028276026249
80	10	True	freeze	90.158	0.0044267895126342775
80	10	False	freeze	75.41	0.01421175513267517
81	10	True	freeze	92.364	0.0034999847454577683
81	10	False	freeze	76.94	0.013867633047699928
82	10	True	freeze	93.98	0.0027421237251907585
82	10	False	freeze	77.04	0.014324514985084533
83	10	True	freeze	95.134	0.0022298810578137637
83	10	False	freeze	78.73	0.014097699862718582
84	10	True	freeze	95.978	0.0018506198102980853
84	10	False	freeze	79.19	0.013540243783593179
85	10	True	freeze	96.776	0.0014900781675428153
85	10	False	freeze	79.44	0.013190438035130501
86	10	True	freeze	97.336	0.001247594483345747
86	10	False	freeze	79.29	0.014240451094508172
87	10	True	freeze	97.744	0.001098934121504426
87	10	False	freeze	78.12	0.015801294350624086
88	10	True	freeze	97.822	0.0010088098139315843
88	10	False	freeze	80.21	0.013113952219486236
89	10	True	freeze	98.04	0.0009139929096400737
89	10	False	freeze	79.18	0.01447844078540802
90	10	True	freeze	98.5	0.0007354026839882135
90	10	False	freeze	79.97	0.013510779437422753
91	10	True	freeze	98.516	0.0007361047292500734
91	10	False	freeze	80.0	0.013715380300581455
92	10	True	freeze	98.242	0.0008515529859066009
92	10	False	freeze	80.43	0.013420808970928191
93	10	True	freeze	98.476	0.0007257708076387644
93	10	False	freeze	80.5	0.013649307134747506
94	10	True	freeze	98.858	0.0005826652537286282
94	10	False	freeze	80.56	0.01360322185754776
95	10	True	freeze	98.744	0.0006128364940732717
95	10	False	freeze	80.54	0.013978881673514843
96	10	True	freeze	98.866	0.0005778264348208904
96	10	False	freeze	80.11	0.013797935092449188
97	10	True	freeze	98.248	0.0008473482432216406
97	10	False	freeze	79.13	0.014260067811608315
98	10	True	freeze	98.162	0.0008679541100934147
98	10	False	freeze	80.47	0.013081868639588356
99	10	True	freeze	98.746	0.000621530775502324
99	10	False	freeze	80.7	0.013096813386678695
100	10	True	freeze	99.086	0.0004893383441865445
100	10	False	freeze	80.51	0.01364104170203209
1	10	True	shuffle	46.506	0.02291346274971962
