epoch	seed	train	strategy	accuracy	loss
1	10	True	freeze	0.34402	2.5608761319732665
1	10	False	freeze	0.3536	2.5539503232955933
2	10	True	freeze	0.34758	2.5342784497833253
2	10	False	freeze	0.3512	2.578254544067383
3	10	True	freeze	0.35632	2.505982980117798
3	10	False	freeze	0.3442	2.607078372764587
4	10	True	freeze	0.36086	2.4801259951019285
4	10	False	freeze	0.3636	2.5469018529891967
5	10	True	freeze	0.36564	2.4472792167282105
5	10	False	freeze	0.3604	2.5360721250534057
6	10	True	freeze	0.37332	2.4246707962417604
6	10	False	freeze	0.3499	2.596426682472229
7	10	True	freeze	0.37448	2.413465135803223
7	10	False	freeze	0.3604	2.5431273557662966
8	10	True	freeze	0.38126	2.374854524497986
8	10	False	freeze	0.3637	2.5390101020812987
9	10	True	freeze	0.38262	2.367803049468994
9	10	False	freeze	0.3623	2.545708539009094
10	10	True	freeze	0.38412	2.356140049037933
10	10	False	freeze	0.3531	2.6006084369659423
11	10	True	freeze	0.38928	2.3405646228027344
11	10	False	freeze	0.3719	2.5131161117553713
12	10	True	freeze	0.39376	2.317013552894592
12	10	False	freeze	0.3682	2.540744339942932
13	10	True	freeze	0.39308	2.3083363273620607
13	10	False	freeze	0.3743	2.5067183834075926
14	10	True	freeze	0.3957	2.3074180030059814
14	10	False	freeze	0.3731	2.5127602579116823
15	10	True	freeze	0.40152	2.2641262132263185
15	10	False	freeze	0.3822	2.4805274927139283
16	10	True	freeze	0.40454	2.26177450712204
16	10	False	freeze	0.3735	2.5136525568008423
17	10	True	freeze	0.40936	2.2468411045265198
17	10	False	freeze	0.3698	2.5320948417663574
18	10	True	freeze	0.40972	2.2482284214401247
18	10	False	freeze	0.3779	2.502240835571289
19	10	True	freeze	0.41542	2.21542872133255
19	10	False	freeze	0.3835	2.4749372789382935
20	10	True	freeze	0.41486	2.2155133843421937
20	10	False	freeze	0.3773	2.500268020248413
21	10	True	freeze	0.41722	2.207069383945465
21	10	False	freeze	0.382	2.4897942180633543
22	10	True	freeze	0.41988	2.192294489841461
22	10	False	freeze	0.3806	2.4717417432785034
23	10	True	freeze	0.42132	2.1905283726882936
23	10	False	freeze	0.3778	2.5258548852920533
24	10	True	freeze	0.4197	2.1865200612068176
24	10	False	freeze	0.3845	2.511107632255554
25	10	True	freeze	0.42056	2.1792437577819825
25	10	False	freeze	0.3712	2.5441534120559695
26	10	True	freeze	0.4269	2.165079851741791
26	10	False	freeze	0.3855	2.4684281213760375
27	10	True	freeze	0.4272	2.1636458069992064
27	10	False	freeze	0.3744	2.5442934898376466
28	10	True	freeze	0.42812	2.1539036464118957
28	10	False	freeze	0.3719	2.5675459674835204
29	10	True	freeze	0.43228	2.138877837123871
29	10	False	freeze	0.3756	2.5484428104400636
30	10	True	freeze	0.4348	2.137486806564331
30	10	False	freeze	0.3771	2.5517521938323973
31	10	True	freeze	0.43784	2.1185590158843994
31	10	False	freeze	0.3836	2.519353589630127
32	10	True	freeze	0.43506	2.1299935601234434
32	10	False	freeze	0.3889	2.473464528274536
33	10	True	freeze	0.43528	2.1178718426704406
33	10	False	freeze	0.3709	2.550951749420166
34	10	True	freeze	0.43918	2.1044301021957397
34	10	False	freeze	0.3817	2.490549514389038
35	10	True	freeze	0.4374	2.109420191860199
35	10	False	freeze	0.3805	2.511968112373352
36	10	True	freeze	0.43718	2.1056530392837525
36	10	False	freeze	0.3682	2.5531569778442385
37	10	True	freeze	0.44288	2.092711750240326
37	10	False	freeze	0.3759	2.5220844579696657
38	10	True	freeze	0.43848	2.0955440627670288
38	10	False	freeze	0.3833	2.521985782623291
39	10	True	freeze	0.44084	2.095042526512146
39	10	False	freeze	0.3787	2.518618835067749
40	10	True	freeze	0.44498	2.0870645158195495
40	10	False	freeze	0.379	2.5233810298919677
41	10	True	freeze	0.44158	2.0894115607070924
41	10	False	freeze	0.3811	2.5168785358428956
42	10	True	freeze	0.44434	2.0909650017356873
42	10	False	freeze	0.3792	2.509824615287781
43	10	True	freeze	0.44868	2.070002019729614
43	10	False	freeze	0.3798	2.5646228618621825
44	10	True	freeze	0.4503	2.0682966453361513
44	10	False	freeze	0.385	2.4893057260513305
45	10	True	freeze	0.45278	2.0560512682151795
45	10	False	freeze	0.3814	2.556849489593506
46	10	True	freeze	0.44558	2.0700867369270326
46	10	False	freeze	0.3829	2.513209051322937
47	10	True	freeze	0.45012	2.0577334353637697
47	10	False	freeze	0.3874	2.487876469039917
48	10	True	freeze	0.45186	2.0568325570869446
48	10	False	freeze	0.3883	2.5067228136062623
49	10	True	freeze	0.45156	2.0533129434776307
49	10	False	freeze	0.3864	2.4973588653564454
50	10	True	freeze	0.4495	2.0463372593307496
